# Desc: Fix number of operations and scale bliim filter size
# N=10000000
# timestamp=2022-10-12-11:15:04
#pages   regular (seconds)    hierarchal (seconds)
1   4.010000  3.340000
2   4.060000  3.380000
3   4.050000  3.430000
4   4.030000  3.330000
5   4.070000  3.350000
6   4.060000  3.380000
7   4.020000  3.410000
8   4.050000  3.400000
9   4.040000  3.410000
10   4.010000  3.410000
11   4.060000  3.350000
12   4.060000  3.380000
13   4.070000  3.460000
14   4.030000  3.350000
15   4.060000  3.430000
16   4.010000  3.360000
17   4.010000  3.490000
18   4.020000  3.350000
19   4.080000  3.410000
20   4.110000  3.400000
