# Desc: Fix number of operations and scale bliim filter size
# N=10000000
# timestamp=2022-10-12-13:03:28
#pages   regular (ops/s)    hierarchal (ops/s)
1   2469135.802469 2958579.881657
2   2457002.457002 2906976.744186
3   2481389.578164 2985074.626866
4   2463054.187192 2967359.050445
5   2463054.187192 2967359.050445
7   2450980.392157 2941176.470588
8   2469135.802469 2994011.976048
9   2427184.466019 2949852.507375
10   2481389.578164 2985074.626866
15   2427184.466019 2932551.319648
20   2469135.802469 3003003.003003
25   2331002.331002 2906976.744186
