# Desc: Fix number of operations and scale bliim filter size
# timestamp=2022-10-12_11:48:54
#n (1e6)   regular (s)    hierarchal (s)
0.500000    0.230000    0.180000
5.000000    2.390000    1.930000
10.000000    5.100000    3.810000
15.000000    8.200000    6.060000
20.000000    11.750000    9.680000
25.000000    16.340000    12.840000
30.000000    21.190000    16.330000
40.000000    31.150000    24.700000
50.000000    41.410000    32.340000
70.000000    62.380000    48.570000
90.000000    83.780000    64.840000
110.000000    108.920000    91.510000
