# Desc: Fix number of operations and scale bliim filter size
# timestamp=2022-12-04_13:23:22
#n (1e6)   standard (s)    hierarchal (s)
1.000000    0.470000    0.350000
5.000000    2.360000    1.800000
10.000000    5.000000    3.880000
15.000000    7.790000    5.880000
20.000000    11.860000    9.100000
25.000000    17.620000    11.940000
30.000000    21.020000    15.690000
40.000000    28.460000    25.510000
50.000000    42.630000    33.520000
70.000000    57.990000    49.540000
90.000000    86.870000    66.300000
110.000000    106.760000    84.310000
