n/m  standard_thru  hierarchal_thru  standard_fp hierarchal_fp
1   986486.486486 1013888.888889    0.994547    0.994404
2   960526.315789 1013888.888889    0.803272    0.799828
3   973333.333333 1013888.888889    0.479409    0.484001
4   960526.315789 986486.486486    0.263022    0.259291
5   960526.315789 1000000.000000    0.139618    0.149806
6   948051.948052 1000000.000000    0.074186    0.077199
7   935897.435897 986486.486486    0.041326    0.050940
8   948051.948052 986486.486486    0.022672    0.023533
9   935897.435897 973333.333333    0.012627    0.011192
10   924050.632911 1000000.000000    0.009614    0.008323
11   912500.000000 986486.486486    0.006601    0.004592
12   924050.632911 986486.486486    0.002296    0.004879
13   924050.632911 986486.486486    0.002726    0.002726
14   948051.948052 986486.486486    0.001865    0.003444
15   935897.435897 948051.948052    0.001148    0.001578
16   935897.435897 986486.486486    0.001291    0.000574
17   948051.948052 973333.333333    0.001148    0.001291
18   948051.948052 986486.486486    0.000717    0.001004
29   935897.435897 973333.333333    0.000143    0.000287
20   935897.435897 986486.486486    0.000430    0.000574
21   935897.435897 986486.486486    0.000574    0.001004
22   912500.000000 973333.333333    0.000287    0.000717
23   935897.435897 986486.486486    0.000861    0.000717
24   890243.902439 973333.333333    0.000574    0.000430
25   924050.632911 973333.333333    0.000287    0.000287
26   924050.632911 960526.315789    0.000430    0.000717
27   935897.435897 948051.948052    0.000143    0.000430
28   935897.435897 973333.333333    0.000574    0.001435
29   935897.435897 973333.333333    0.000287    0.000574
30   935897.435897 986486.486486    0.000287    0.000574
