n/m  standard    hierarchal
2   0.825093 0.767273
3   0.644347 0.605580
4   0.368693 0.447120
5   0.305813 0.272167
6   0.203047 0.204920
7   0.035727 0.036307
8   0.021687 0.022007
9   0.012247 0.012513
10   0.007927 0.009440
11   0.004360 0.004827
12   0.003413 0.003240
13   0.002133 0.002120
14   0.001440 0.001420
15   0.001027 0.000880
16   0.000613 0.000640
17   0.000473 0.000260
18   0.000273 0.000433
19   0.000233 0.000273
20   0.000127 0.000060
21   0.000133 0.000160
22   0.000047 0.000100
23   0.000093 0.000047
24   0.000053 0.000100
25   0.000067 0.000120
26   0.000020 0.000040
27   0.000013 0.000007
28   0.000047 0.000020
29   0.000013 0.000020
30   0.000020 0.000020
2   0.824393 0.744333
3   0.640540 0.592980
4   0.425847 0.397867
5   0.315887 0.299433
6   0.172600 0.160847
7   0.035480 0.035833
8   0.021773 0.022273
9   0.012673 0.007560
10   0.008173 0.008227
11   0.005080 0.004880
12   0.003160 0.003173
13   0.001840 0.002227
14   0.001507 0.001427
15   0.000833 0.000987
16   0.000620 0.000913
17   0.000500 0.000267
18   0.000300 0.000413
19   0.000240 0.000220
20   0.000167 0.000040
21   0.000173 0.000133
22   0.000140 0.000093
23   0.000113 0.000053
24   0.000060 0.000053
25   0.000033 0.000060
26   0.000047 0.000000
27   0.000040 0.000053
28   0.000007 0.000040
29   0.000013 0.000020
30   0.000007 0.000027
2   0.832767 0.804993
3   0.645093 0.572180
4   0.409427 0.401713
5   0.286507 0.286600
6   0.180753 0.217647
7   0.035460 0.037447
8   0.022280 0.021473
9   0.012967 0.012333
10   0.008047 0.006773
11   0.004813 0.004693
12   0.003200 0.003413
13   0.002033 0.000247
14   0.001347 0.001487
15   0.000960 0.001033
16   0.000720 0.000647
17   0.000487 0.000553
18   0.000320 0.000347
19   0.000193 0.000247
20   0.000193 0.000220
21   0.000140 0.000193
22   0.000060 0.000127
23   0.000080 0.000053
24   0.000053 0.000027
25   0.000053 0.000073
26   0.000053 0.000013
27   0.000060 0.000013
28   0.000020 0.000020
29   0.000033 0.000013
30   0.000013 0.000007
