n   standard    hierarchal
1.000000    0.560000    0.460000
5.000000    2.880000    2.590000
10.000000    5.700000    4.820000
15.000000    9.240000    8.210000
20.000000    12.610000    11.430000
25.000000    17.180000    13.740000
30.000000    23.660000    19.330000
40.000000    39.500000    30.800000
50.000000    46.850000    37.410000
70.000000    71.260000    55.800000
90.000000    93.240000    75.390000
110.000000    116.370000    93.550000
1.000000    0.550000    0.460000
5.000000    2.830000    2.370000
10.000000    6.070000    5.020000
15.000000    10.400000    7.890000
20.000000    13.800000    12.310000
25.000000    20.190000    16.750000
30.000000    26.430000    18.900000
40.000000    39.220000    31.150000
50.000000    48.870000    41.220000
70.000000    72.440000    58.360000
90.000000    100.580000    78.930000
110.000000    116.370000    96.090000
1.000000    0.570000    0.450000
5.000000    2.870000    2.390000
10.000000    5.850000    4.990000
15.000000    9.620000    7.810000
20.000000    14.240000    10.770000
25.000000    19.080000    17.060000
30.000000    24.240000    20.110000
40.000000    35.450000    29.870000
50.000000    46.760000    37.400000
70.000000    71.070000    56.980000
90.000000    94.480000    80.160000
110.000000    119.380000    94.760000
